OfficerID,CRID,Category,Allegation,Finding,Outcome,IncidentDate,Latitude,Longitude,Officer Gender,Officer Race,Officer Rank,Officer Age
9413,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,White,Police Officer,47
352,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,Asian/Pacific,Police Officer,38
20027,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,White,Police Officer,45
16234,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,White,Police Officer,51
14602,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,White,Police Officer,50
14243,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,White,Police Officer,50
2374,1071223,Illegal Search,Improper Search Of Vehicle,Not Sustained,No Action Taken,2014,41.9544565,-87.7095355,M,Hispanic,Police Officer,39
23770,1083717,Use Of Force,Unnecessary Physical Contact / On Duty ,No Affidavit,Unknown,2017,41.9546637,-87.6509612,M,Hispanic,Police Officer,37
22399,1083717,Use Of Force,Unnecessary Physical Contact / On Duty ,No Affidavit,Unknown,2017,41.9546637,-87.6509612,M,White,Police Officer,55
20187,1072896,Use Of Force, Injury,Unfounded,No Action Taken,2014,41.9551725,-87.6685158,M,White,Police Officer,56
3394,1072896,Use Of Force, Injury,Unfounded,No Action Taken,2014,41.9551725,-87.6685158,M,White,Po As Detective,44
9213,1072896,Use Of Force, Injury,Unfounded,No Action Taken,2014,41.9551725,-87.6685158,M,White,Po As Detective,47
19798,1079889,Use Of Force, Injury,Unfounded,Unknown,2015,41.955369,-87.7635893,M,White,Police Officer,43
29180,1085494,Use Of Force, No Injury,Unfounded,Unknown,2017,41.9556184,-87.7071202,M,White,Sergeant Of Police,55
4641,1071815,Use Of Force,Take Down (Thrown To Ground),No Affidavit,Unknown,2014,41.955851,-87.6501007,M,Hispanic,Police Officer,45
14998,1071815,Use Of Force,Take Down (Thrown To Ground),No Affidavit,Unknown,2014,41.955851,-87.6501007,M,Asian/Pacific,Police Officer,46
29031,1080443,Use Of Force, Injury,Not Sustained,Unknown,2016,41.956426,-87.7029629,M,Hispanic,Police Officer,48
8556,1074846,Use Of Force,Injury,Not Sustained,15 Day Suspension,2015,41.9564734,-87.7894755,M,White,Police Officer,49
18842,1081623,Use Of Force, No Injury,Not Sustained,Unknown,2016,41.9565793,-87.7854399,F,White,Police Officer,39
10325,1076552,Illegal Search,Improper Search Of Vehicle,No Affidavit,No Action Taken,2015,41.9566675,-87.650637,M,Hispanic,Police Officer,48
